trade_date,ema20,active,breadth_09:01,thrust_09:01,breadth_09:05,thrust_09:05,breadth_09:10,thrust_09:10,breadth_09:15,thrust_09:15,breadth_09:30,thrust_09:30,up_L3_full,dn_L3_full,up_L3_pre_09:01,dn_L3_pre_09:01,up_L3_fwd_09:01,dn_L3_fwd_09:01,up_L3_pre_09:05,dn_L3_pre_09:05,up_L3_fwd_09:05,dn_L3_fwd_09:05,up_L3_pre_09:10,dn_L3_pre_09:10,up_L3_fwd_09:10,dn_L3_fwd_09:10,up_L3_pre_09:15,dn_L3_pre_09:15,up_L3_fwd_09:15,dn_L3_fwd_09:15,up_L3_pre_09:30,dn_L3_pre_09:30,up_L3_fwd_09:30,dn_L3_fwd_09:30,up_L4_full,dn_L4_full,up_L4_pre_09:01,dn_L4_pre_09:01,up_L4_fwd_09:01,dn_L4_fwd_09:01,up_L4_pre_09:05,dn_L4_pre_09:05,up_L4_fwd_09:05,dn_L4_fwd_09:05,up_L4_pre_09:10,dn_L4_pre_09:10,up_L4_fwd_09:10,dn_L4_fwd_09:10,up_L4_pre_09:15,dn_L4_pre_09:15,up_L4_fwd_09:15,dn_L4_fwd_09:15,up_L4_pre_09:30,dn_L4_pre_09:30,up_L4_fwd_09:30,dn_L4_fwd_09:30,dir_full,dir_10
2025-06-02,271.72161172237895,1017,-0.5791543756145526,0.0,-0.6066863323500492,0.0,-0.5014749262536873,0.0,-0.5830875122910522,0.0,-0.7109144542772862,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2025-06-03,270.51002965358094,966,0.5113871635610766,0.0808339745943788,0.4668737060041408,0.06940427164841945,0.505175983436853,0.1408351182683193,0.5341614906832298,0.2890091943498822,0.38923395445134573,0.2672679478342443,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-1,1
2025-06-04,270.0805030199066,973,0.5601233299075026,-0.06306219105601227,0.6269270298047277,-0.03791709784277803,0.6618705035971223,-0.019473622094126702,0.6896197327852004,0.004876523386747728,0.6598150051387461,0.11969976663371239,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
2025-06-05,270.26331225610596,970,0.0865979381443299,-0.04732619338896888,0.041237113402061855,0.03908039746794359,0.23195876288659795,0.009435221961114336,0.311340206185567,0.025329298516905883,0.3154639175257732,0.014244157856664228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1
2025-06-06,260.23823489838156,975,0.01641025641025641,-0.06434825227803248,-0.07487179487179488,0.028088035403130873,0.09025641025641026,0.03195061635819626,0.2153846153846154,0.13287943762204904,0.2553846153846154,0.12253548618754247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2025-06-09,246.59649824139285,996,0.41164658634538154,0.09294945984487953,0.2710843373493976,0.0892228866323177,0.1606425702811245,0.14448709481087127,0.0321285140562249,0.13202606656525062,-0.23795180722891565,0.060587820740841375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2025-06-10,238.53968888506972,996,0.21184738955823293,-0.06854551933012729,0.21686746987951808,0.0733898121543685,0.29819277108433734,-0.09064361087935424,0.3825301204819277,-0.04979783570998129,0.5040160642570282,0.17631610010415433,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
2025-06-11,252.5835280388726,984,0.18699186991869918,-0.187966400745618,0.125,-0.22774174041011522,0.11890243902439024,-0.39906613287765896,0.12398373983739837,-0.24368696027897194,0.06402439024390244,-0.3181914100554918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
2025-06-12,244.24223965421805,969,-0.07120743034055728,-0.21151801332725942,-0.15892672858617132,-0.290080226391337,-0.09597523219814241,-0.24114061608458243,-0.014447884416924664,-0.1595049428223769,0.11351909184726522,-0.1263377088723788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2025-06-13,231.93345492524492,1007,-0.6534260178748759,-0.09531616936458026,-0.6931479642502483,-0.09890300425368072,-0.6673286991062563,-0.026943839118909074,-0.7169811320754716,-0.2341518495389623,-0.6832174776564052,-0.11447465952061386,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
2025-06-16,233.2731258847454,981,-0.43730886850152906,-0.028257709846564085,-0.508664627930683,-0.11433130814775828,-0.4413863404689093,-0.17702519345993623,-0.27522935779816515,-0.013240186563645926,-0.3384301732925586,0.019792671873999912,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2025-06-17,229.43759008619824,980,0.48367346938775513,0.36209435021465347,0.5418367346938775,0.2435151163706179,0.4816326530612245,0.037937736241651074,0.47244897959183674,0.011655272204876518,0.4377551020408163,0.01626124869329142,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1
2025-06-18,226.5387719827508,954,0.06813417190775681,-0.15551723097763048,0.19077568134171907,0.12897792511684167,0.2578616352201258,0.37449829572354754,0.22327044025157233,0.27368191563998073,0.12159329140461216,0.2113642569355598,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
2025-06-19,230.48746036534595,1013,-0.15004935834155972,-0.06705197651618375,-0.4155972359328727,-0.1400792532772208,-0.4629812438302073,-0.12178212245106665,-0.5370187561697927,0.01952521649396203,-0.6090819348469891,-0.2704119002146332,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2025-06-20,225.86960699721777,970,-0.018556701030927835,0.06011065215128257,0.1711340206185567,0.34933369731919073,0.049484536082474224,0.026333313369524707,-0.22783505154639175,0.011696464524789929,-0.520618556701031,-0.059052593131750396,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-1,-1
2025-06-23,230.3582158546256,1000,-0.7,-0.15205425906688944,-0.68,0.08869732571083867,-0.627,0.14914088733055977,-0.653,0.14349744201498527,-0.794,-0.21537199626970444,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,-1
2025-06-24,234.99076672561364,1000,0.655,0.0009538273393389175,0.736,0.06084632314093741,0.804,0.30478482118672534,0.822,0.1733448910129555,0.826,0.041169466641237204,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-06-25,231.84878894222186,989,0.5551061678463094,0.06562151509610491,0.5298281092012134,0.005186005855148475,0.5257836198179979,-0.03353399929531662,0.4863498483316481,-0.045272797425009934,0.17087967644084934,-0.06698086009046948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
2025-06-26,224.14890428105787,1018,0.393909626719057,-0.1975571959904108,0.4302554027504912,-0.06655921522508858,0.5049115913555993,-0.1543633881448831,0.568762278978389,-0.1426736829581682,0.6394891944990176,-0.10537540657749071,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2025-06-27,220.4204372066714,1052,0.5095057034220533,0.17795581609027808,0.3155893536121673,-0.008890271649998933,0.2509505703422053,0.02416339150351199,0.3906844106463878,0.033639664891409266,0.24809885931558937,-0.15252731231895605,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-1,-1
