trade_date,ema20,W-fix21_09:15,W-20_09:15,H-20_09:15,W-50_09:15,H-50_09:15,W-100_09:15,H-100_09:15,B_09:15,W-fix21_09:30,W-20_09:30,H-20_09:30,W-50_09:30,H-50_09:30,W-100_09:30,H-100_09:30,B_09:30,up_L4,dn_L4,dir_full,dir_10
2025-06-02,271.72161172237895,-0.060562441727084707,-0.0061355654605930714,0.016680242205698498,-0.02720785441443217,-0.03233764032376723,-0.0491364762920137,-0.05154353126299056,-0.5830875122910522,-0.0821200784641156,-0.06558249104518621,-0.055971848162249954,-0.09684036605059762,-0.0965917317279798,-0.13937448604634886,-0.1238115088343357,-0.7109144542772862,0,0,-1,-1
2025-06-03,270.51002965358094,0.2889619522819412,0.25446262389286184,0.2422692587796047,0.1969416845523414,0.19363801015999202,0.17636533957151423,0.17055343030777845,0.5341614906832298,0.2672420156866357,0.20369828389983577,0.20908344489975636,0.174450223511065,0.1512991238906848,0.1557919620160399,0.1401908891337864,0.38923395445134573,0,1,-1,1
2025-06-04,270.0805030199066,0.004898439657308573,0.10000980091006044,0.07418595372698697,0.12403913075715625,0.07061413068404318,0.12096175221285359,0.07971700062249487,0.6896197327852004,0.119696913238062,0.2020665010997088,0.16261625191447487,0.19628331959288559,0.12324468563902376,0.1818787406503205,0.13197177115598588,0.6598150051387461,1,0,1,1
2025-06-05,270.26331225610596,0.025326403588860843,-0.14493828449030555,-0.012247542072876143,-0.09395088220076196,-0.017096849955137702,-0.05127917480174395,0.006021949511706299,0.311340206185567,0.014255760507095492,-0.17480310447486097,-0.01878035399831767,-0.09088457638170096,-0.015272196358665956,-0.04852491245250228,0.012012560462470926,0.3154639175257732,0,0,-1,1
2025-06-06,260.23823489838156,0.1329201273918323,0.010745421292485312,0.02337975295847976,0.011707405408494381,0.023614713712860672,0.01858071793565541,0.02878209844339599,0.2153846153846154,0.12258833549212067,-0.040609170903995226,-0.011779243324594303,-0.052760452638504506,-0.019529817299240845,-0.03692744275268659,-0.016945029533477082,0.2553846153846154,0,0,-1,-1
2025-06-09,246.59649824139285,0.13203504989154335,0.0016155899310412816,0.09483229589224416,0.007225725501118185,0.04936951962179042,-0.009250675140374311,0.030721851663896443,0.0321285140562249,0.06056995939138453,-0.07227836106871223,0.024355317338345506,-0.05773325557281386,-0.006806999841102489,-0.062062307667374465,-0.013271291425752747,-0.23795180722891565,0,0,-1,-1
2025-06-10,238.53968888506972,-0.04977178697227525,0.07084205132214594,0.019271944646980985,0.05900563616283319,0.03933157393592103,0.05211599801248292,0.028995812564873442,0.38391959798994973,0.176318413335341,0.22544386919823442,0.14406627424285742,0.1897886770228895,0.13600347601800508,0.17374946280888692,0.1308567274429295,0.5055276381909548,1,0,1,1
2025-06-11,252.5835280388726,-0.24366362412739667,-0.09301604818393161,-0.14091658087861125,-0.044901074202332976,-0.07612546440790173,-0.02299371087371859,-0.07036794404631719,0.12398373983739837,-0.3181743624698941,-0.12929917725581808,-0.22765289728144164,-0.08018433331433833,-0.1405351694472206,-0.05757829035537904,-0.1214975392281865,0.06402439024390244,0,0,1,-1
2025-06-12,244.24223965421805,-0.1594897894278721,-0.04954236848084751,-0.06651909800517936,-0.02480224889169797,-0.03387940130377747,-0.02068518064973978,-0.02664370264864578,-0.014447884416924664,-0.1263323349827647,-0.037411057254154424,-0.017648892208956202,0.017759010126735617,0.030473205550143496,0.02894627009096334,0.03569627349762752,0.11351909184726522,0,0,-1,-1
2025-06-13,231.93345492524492,-0.2341305440910451,-0.1257199139277638,-0.17228480293900544,-0.08776253858444279,-0.10441907041942458,-0.08585614771866473,-0.09852798694873977,-0.7166998011928429,-0.11446403283130152,-0.033119417125134144,-0.06676691866741676,-0.0037422723530327858,-0.018409905574974433,-0.00882985078907206,-0.019059703395922948,-0.6829025844930418,1,0,1,1
2025-06-16,233.2731258847454,-0.013216450808433044,0.03799757327494138,0.08134073241145424,0.05754913253546116,0.10581131059822389,0.08742767609905089,0.1207622646277541,-0.27448979591836736,0.019813953183369936,-0.0008096194076528593,0.03598321539228289,0.010258703872030477,0.04316274372440262,0.04097766958833827,0.06964564324347863,-0.3377551020408163,0,0,-1,-1
2025-06-17,229.43759008619824,0.01165580055072267,-0.01865311080937052,-0.012455221060004098,-0.013251168652935352,-0.02082047101740988,-0.0029294332547259495,-0.006269278222298944,0.47244897959183674,0.0162699732104322,-0.0612010278078993,-0.013051356971266477,-0.03258898221419783,-0.032924225593832165,-0.02067475372137828,-0.022093982670165765,0.4377551020408163,0,0,-1,1
2025-06-18,226.5387719827508,0.27368007185230975,0.21590888889123863,0.23565071145230043,0.20550462645420367,0.21654902109387064,0.19830893235618163,0.19367320520203526,0.22327044025157233,0.2113519401436202,0.13515571205429291,0.13346108214963465,0.11659461008281354,0.10380880649856766,0.11245214637608193,0.09043586109295797,0.12159329140461216,1,0,1,1
2025-06-19,230.48746036534595,0.019515871770483167,0.057320937153275645,0.003643966952964159,0.014246991896404671,-0.014695892358359868,-0.013340194866162206,-0.03314326751426426,-0.5370187561697927,-0.27038893742940073,-0.11024745908755633,-0.201497605978804,-0.11580159912877712,-0.16705980210374757,-0.13670530892244975,-0.17350115508379393,-0.6090819348469891,0,0,-1,-1
2025-06-20,225.86960699721777,0.011695151465790069,-0.0983992926943538,-0.0503667152735472,-0.07644293819487945,-0.06605155356062789,-0.07859587967530839,-0.06672565461856372,-0.22783505154639175,-0.0590514926870225,-0.19494318728921425,-0.19568931795151315,-0.1879539999709257,-0.21597973577501778,-0.19120034383052392,-0.20406729297659737,-0.520618556701031,0,1,-1,-1
2025-06-23,230.3582158546256,0.14349550697565397,0.19514645676921494,0.21056063100583858,0.2424834760988453,0.206817019066838,0.22051414389525198,0.2004807315062428,-0.653,-0.2153389926433423,-0.01569829436757789,-0.044656365629147154,0.044283863769609015,-0.023795071082436475,0.017235174434266025,-0.027636588531636593,-0.794,1,0,1,-1
2025-06-24,234.99076672561364,0.1733420510418671,0.10123346161276885,0.10110581841157633,0.12871781889714773,0.1322187767219781,0.13245216501660145,0.12939394810157412,0.822,0.04117980194150766,-0.001559782542039447,-0.023220908603572166,0.035594886845268625,0.03166425161519622,0.058873477078332515,0.037577777761832236,0.826,0,0,1,1
2025-06-25,231.84878894222186,-0.04526406004096727,0.030258118875214134,0.029588281290087837,0.007521090499700791,0.03144702669709996,0.0056148676705763565,0.02812178452852693,0.4863498483316481,-0.06696588379948401,0.026123517623605333,-0.015263406691642124,-0.0058333872586613066,-0.012295135837310862,-0.02163239271786091,-0.021704510277163833,0.17087967644084934,0,0,1,-1
2025-06-26,224.14890428105787,-0.1426679911184115,-0.1241950581294212,-0.17127921568360494,-0.07072518846656242,-0.10636652892009447,-0.050644720907770786,-0.08773137545168873,0.568762278978389,-0.10537804929035038,-0.17198000045639872,-0.2280242385999005,-0.11284407582132834,-0.15970472425154117,-0.09168799307650179,-0.1411461339209222,0.6394891944990176,0,0,-1,-1
2025-06-27,220.4204372066714,0.03363673331556408,-0.06668229594798351,-0.11286992110629333,-0.06948001000772366,-0.08908702104152,-0.04590924791377313,-0.07098518853185753,0.3906844106463878,-0.15252249876778987,-0.20539370742612847,-0.18736145618992756,-0.17175546043694273,-0.17738000127279863,-0.14159120762533814,-0.15276317857958074,0.24809885931558937,0,1,-1,-1
2025-06-30,221.52325271079795,-0.07867225114884471,-0.0743208255183747,-0.1028634974429625,-0.0814352851024694,-0.09594698168371169,-0.07101533885324528,-0.08086806743833555,-0.448207171314741,-0.08103416901512432,-0.07143248455535837,-0.09685511149768843,-0.09134504208785428,-0.11463135740620699,-0.08823971747490444,-0.10361309318055904,-0.601593625498008,0,0,-1,-1
2025-07-01,216.7115143573886,0.44985471430517554,0.2905930801382788,0.32891956733528305,0.25673284209127173,0.30167000134800925,0.24998793595188176,0.2757125912578447,0.6532416502946955,0.41040769966864793,0.24346816551611386,0.3091601407955717,0.22368433869712695,0.28069921837742867,0.21130964445158198,0.2510495004703572,0.6984282907662083,1,1,1,1
2025-07-02,234.35803679954208,-0.06292569166590138,-0.09406937441040722,-0.07789603932102182,-0.006678735073323337,-0.015623853292750168,0.021551730738696023,0.010267315647116707,0.14764397905759163,0.1797846093799141,0.10293036975528544,0.12265882956180904,0.13138261354218547,0.12823156948154885,0.12897527622712202,0.13092953757919795,0.06806282722513089,0,0,1,1
2025-07-03,230.41917615196664,-0.3133416964619462,-0.26489081633260003,-0.24296146120854809,-0.17592005112838738,-0.176473932906381,-0.14707060504136427,-0.16348662451203985,0.5685483870967742,-0.20907003260176382,-0.17833526872462105,-0.1719260170526326,-0.10339506570884559,-0.11998369690583528,-0.0757437451872418,-0.10169350497392926,0.5806451612903226,0,0,1,1
2025-07-04,224.5697308041603,0.05219666564797029,0.0121338534984472,0.034738907885334284,-0.012694643245041855,0.03293065196667696,-0.016482615059740236,0.012409645767999907,-0.014418125643666324,-0.06785056412083282,-0.1503268701548637,-0.08164247009805374,-0.15511194077981325,-0.08735863204799202,-0.16317748425008194,-0.10583858981057756,-0.5128733264675592,0,1,-1,-1
2025-07-07,234.7059469180498,-0.303622115499313,-0.3506935582660724,-0.310345201691219,-0.31192093529857784,-0.34688362913665677,-0.3116447859584932,-0.3350606840985312,-0.6894790602655771,0.02319910431021014,-0.12623411436474696,-0.06232740127646402,-0.09995979579268519,-0.12047561514702007,-0.0976062537272225,-0.11657963790738066,-0.4586312563840654,0,1,-1,-1
2025-07-08,237.3053805449022,-0.0161191366608271,0.046649589861266695,0.07520702209054213,0.033908971878355613,0.020570275839910425,0.017243479930620254,0.012165121829232175,-0.5598335067637877,-0.12825316908982265,0.022424679320337572,0.12369621804299791,0.045145740992565096,0.035801433102977724,0.03592809336886247,0.038336061783554365,-0.4963579604578564,0,1,-1,-1
2025-07-09,239.08582049300674,0.3108725565365227,0.2552349438171196,0.27103372699121603,0.21853142546079465,0.1755376881657008,0.18922778760261086,0.1650642054079103,0.2492046659597031,0.25531827129245555,0.19953121277748626,0.20293104145398225,0.162714102322471,0.10637845564015225,0.12499023415035967,0.10560054986816844,0.1283138918345705,1,0,1,1
2025-07-10,247.45859949367275,-0.03474880947911734,-0.03859401869430726,-0.03933432484165294,-0.013154297070232909,-0.04709087158614007,-0.0074764651644484426,-0.0369535987839339,-0.054890219560878244,0.08194523683028239,0.05026989673172346,0.08854771484751246,0.07794467671223228,0.04615249196629033,0.0808711133475474,0.058249906435316086,0.020958083832335328,0,0,1,1
2025-07-11,246.46254239903726,0.06880432928727505,-0.07468011133561386,-0.024021365227144605,-0.01276313081029087,0.018241159972882094,0.004819261469423896,0.024918002652108372,0.24,0.06394728508567696,-0.15522055896299483,-0.16395150398553376,-0.08804238046780853,-0.08850460489556111,-0.05854108872004016,-0.06530933165439175,0.3558974358974359,1,0,1,1
2025-07-14,250.22801455150992,-0.35574143629929345,-0.33461005791674153,-0.2549294406323246,-0.2409330742255591,-0.22807920523905123,-0.2298209069882786,-0.22283652497923953,-0.24581589958158995,-0.26468823092507826,-0.29465932346428053,-0.20988938516607764,-0.18459346536627153,-0.18102592974755602,-0.1807142921784879,-0.17638526800730783,-0.2730125523012552,0,0,-1,-1
2025-07-15,243.0634417370804,0.10805858103000822,0.15770447158194192,0.12489560187716615,0.15794047304019518,0.14317548744927974,0.15834114106666483,0.13154049675788038,0.3678861788617886,0.10909208572807813,0.10708877870339062,0.05358583729710798,0.13277701913658851,0.089208553544875,0.14206126113900702,0.08675901373167372,0.36077235772357724,1,0,1,1
2025-07-16,255.15263776212038,0.2799075891373613,0.21182147460766193,0.15116888677142706,0.1735061591033065,0.12426272749682005,0.1611285230320284,0.11256427003026066,0.17303822937625754,0.0940191039814457,0.10154749433743214,0.026959780051714583,0.08191565728900682,0.02280119551784635,0.09296983045207763,0.025423907884655237,0.1981891348088531,1,0,1,1
2025-07-17,259.1381008323946,0.13380268722026012,0.10820518782708642,0.007404114724788798,0.10543321218674502,0.022029617817662876,0.10647795917550179,0.03564455771354926,0.6363636363636364,-0.14501252567356,-0.11437094779663023,-0.15445274571470238,-0.07756331940531806,-0.13222278924886388,-0.0582435086419094,-0.11094794783792183,0.6036772216547498,1,0,1,-1
2025-07-18,261.50590075311896,0.015178754874058746,0.06065913965626334,0.06809197538483455,0.009689904521513044,0.043221919258161844,-0.007520815633866086,0.013799334697612332,0.41964285714285715,-0.016377756096656017,0.015991825264765183,0.026185993550119833,-0.036988571932455964,-0.003997480313159584,-0.05910471061588367,-0.04087296162514687,0.19642857142857142,0,0,-1,-1
2025-07-21,252.69581496710762,-0.3120331585968673,-0.25221599681739887,-0.24375932340844297,-0.17551071603738463,-0.20106779291929722,-0.15346903185910185,-0.16851560232581514,0.115625,0.01666608742679031,-0.14490943128351294,-0.10140676235443921,-0.12411096558283785,-0.11340216211992693,-0.11382775312956571,-0.09563893813762916,0.05625,0,0,-1,-1
2025-07-22,240.91526116071643,0.48953132129412447,0.3244604919280279,0.363564720849611,0.25034780652827754,0.27546003265700975,0.21581515950752042,0.23132348328053573,0.10102040816326531,0.23647502588566388,0.15411747924519842,0.21474605373219985,0.11942444674799141,0.13648548975291747,0.09843531292436092,0.10236416122214319,-0.12857142857142856,0,1,-1,1
2025-07-23,258.8280934311244,0.021516078631821867,0.05489740205610134,-0.019736668874136838,0.05432320149996298,0.044455934892545616,0.06403313192411797,0.04746664784695841,0.7739656912209889,-0.2004306751256075,-0.22059483507993163,-0.2908451259654858,-0.18091349752488808,-0.21118095743935922,-0.14727528895284403,-0.1824138996669288,0.7285570131180625,1,0,1,1
2025-07-24,258.7492273900649,-0.022488514202186814,-0.08214556975325735,-0.1332133278936464,-0.06617071616722009,-0.12447904255459884,-0.08758719358512077,-0.13388622401601197,-0.027327935222672066,-0.01662704368253886,-0.016081149955487962,0.012051729560867617,0.013372635285907224,0.0022101938349899032,-0.016467103462756864,-0.03292586316324694,-0.22672064777327935,0,0,-1,-1
2025-07-25,251.1540628767254,-0.28931631384944145,-0.2256551498758353,-0.27317167420281896,-0.1932095555507332,-0.22077241396014569,-0.1698245203564941,-0.18477671464312367,-0.0778688524590164,-0.2946205224456319,-0.2136114181658643,-0.2517442058790801,-0.18610667037861056,-0.20698248659247645,-0.16617217720603808,-0.16622392733085425,-0.09631147540983606,0,0,-1,-1
2025-07-28,238.7584378408468,-0.3012667266289017,-0.17523156827674607,-0.19188262046152157,-0.14034207875260996,-0.12964347958313188,-0.15549746829253755,-0.13478308200524755,-0.24471299093655588,-0.31340183670804084,-0.12859547560903564,-0.1729913526771695,-0.08499326476777441,-0.07061305972588616,-0.08803373549842118,-0.06978521260927018,-0.017119838872104734,0,0,-1,-1
2025-07-29,236.78144376076614,-0.0757059769264397,-0.008368779280637001,-0.016066884826206412,0.00021474206122286835,0.02549428950912541,-0.001959542051371361,0.02065096505684513,0.1529656607700312,-0.20529042842575268,-0.09336077027140292,-0.10300700330429642,-0.07337675629549087,-0.02993462342220855,-0.06384048858391317,-0.032847866860820515,0.2206035379812695,0,1,-1,-1
2025-07-30,245.8498776883122,-0.03612886253367713,-0.1213912851551636,-0.04176091614571998,-0.10617999088206621,-0.055907126867757256,-0.0943990937326082,-0.06160283010556264,0.18848167539267016,-0.07196889347432857,-0.2398978825381915,-0.18807018175999266,-0.24160841982983866,-0.21775632572676432,-0.23747859695368856,-0.21753558786557392,-0.21256544502617802,0,0,1,1
2025-07-31,243.6736988608539,-0.06377391292604875,0.053400747070687433,-0.008701410664910689,0.05565466850540232,0.010364897264780126,0.03547983246791788,-0.0029149296399356224,-0.2777212614445575,-0.0828173901064881,0.07682566506193243,-0.015476052769874833,0.07803574884657508,0.0377017533677172,0.059355494638939875,0.016720444061609836,-0.40386571719226855,1,0,1,-1
2025-08-01,245.8000132550583,0.4951809012194988,0.4991410806797427,0.531656386770456,0.4779593465551159,0.4855556804226914,0.46199018199423053,0.4691086729953635,-0.4684772065955383,0.26652336028416707,0.3098236891973941,0.3356522211031376,0.36157388937861346,0.3510299909732056,0.37340999671350683,0.3634532608505044,-0.3879728419010669,1,0,1,1
2025-08-04,259.9142977069575,-0.14314613454128086,-0.12338824988642422,-0.1356941439971574,-0.10598102090309731,-0.10755770125006867,-0.09668449116831589,-0.09703492883634053,-0.6782868525896414,-0.14303262985307588,-0.17251050351625405,-0.12913194923337826,-0.1058740911044433,-0.09075080214524367,-0.06965740697332913,-0.06402624780104013,-0.38147410358565736,1,0,1,1
