trade_date,n_weight,thrust,breadth,confirm,up_full,dn_full,ema20,active,up_L3_full,dn_L3_full,up_L3_pre,dn_L3_pre,up_L3_fwd,dn_L3_fwd,up_L4_full,dn_L4_full,up_L4_pre,dn_L4_pre,up_L4_fwd,dn_L4_fwd,yr
2025-12-23,21,-0.08794558740493232,0.07396149949341439,-0.07396149949341439,96.0,87.0,251.99485493382184,987,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-12-24,21,0.06972187800625118,0.2881188118811881,0.2881188118811881,80.0,177.0,237.13820208298168,1010,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-12-26,21,-0.025556658847119818,0.0748502994011976,-0.0748502994011976,178.0,145.0,231.41075426555486,1002,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-12-29,21,0.15460153423855735,0.22442899702085403,0.22442899702085403,285.0,90.0,226.32401576407344,1007,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-12-30,21,-0.04584016287170435,-0.536,0.536,237.0,102.0,231.91220473892358,1000,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-12-31,21,0.29755324163705815,0.10813492063492064,0.10813492063492064,271.0,93.0,232.3967566685499,1008,1,0,0,0,1,0,1,0,0,0,1,0,2025
2026-01-02,21,-0.052669816673850726,0.2737154150197628,-0.2737154150197628,474.0,97.0,236.0732560334499,1012,1,0,0,0,1,0,1,0,0,0,1,0,2026
2026-01-05,21,0.2609733015044075,-0.31770334928229665,-0.31770334928229665,637.0,233.0,258.73294593502607,1045,1,1,1,0,0,1,1,0,0,0,1,0,2026
2026-01-06,21,0.3490491393159979,0.316147859922179,0.316147859922179,489.0,106.0,294.75837965549977,1028,1,0,0,0,1,0,1,0,0,0,1,0,2026
2026-01-07,21,0.010674130460680834,0.2526215443279314,0.2526215443279314,228.0,194.0,313.2575815930712,1049,1,0,0,0,1,0,0,0,0,0,0,0,2026
2026-01-08,21,-0.0854598660893694,0.06862745098039216,-0.06862745098039216,310.0,244.0,305.1378119175406,1020,1,1,0,0,1,1,1,0,0,0,1,0,2026
2026-01-09,21,-0.17850122054223536,-0.41256038647342996,0.41256038647342996,573.0,460.0,305.6008774492034,1035,1,1,0,1,1,0,1,1,0,1,1,0,2026
2026-01-12,21,-0.14924857346068496,0.28708133971291866,-0.28708133971291866,208.0,198.0,331.06746054927925,1045,0,0,0,0,0,0,0,0,0,0,0,0,2026
2026-01-13,21,-0.1614424137989156,-0.10782442748091603,0.10782442748091603,251.0,626.0,319.3467500207765,1048,1,1,0,1,1,0,0,1,0,1,0,0,2026
2026-01-14,21,0.13284301782628744,0.5640038498556305,0.5640038498556305,225.0,217.0,348.5518214473692,1039,0,0,0,0,0,0,0,0,0,0,0,0,2026
2026-01-15,21,0.037786252593668135,-0.12476370510396975,-0.12476370510396975,313.0,198.0,336.78498130952454,1058,1,0,0,0,1,0,0,0,0,0,0,0,2026
2026-01-16,21,-0.2825993565131511,-0.11089681774349083,0.11089681774349083,379.0,267.0,334.51974499433175,1037,1,1,0,1,1,0,1,0,0,0,1,0,2026
2026-01-19,21,0.1389410902464942,0.24003795066413663,0.24003795066413663,566.0,170.0,338.75595975677635,1054,1,0,1,0,0,0,1,0,0,0,1,0,2026
2026-01-20,21,0.12687978096373914,-0.05268199233716475,-0.05268199233716475,414.0,167.0,360.39824930375005,1044,1,0,0,0,1,0,1,0,0,0,1,0,2026
2026-01-21,21,0.11625028222113108,-0.3222748815165877,-0.3222748815165877,365.0,425.0,365.50317794148816,1055,1,1,1,0,0,1,1,1,0,0,1,1,2026
2026-01-22,21,-0.010476958362431508,0.5143129770992366,-0.5143129770992366,224.0,274.0,371.16954194706074,1048,0,1,0,0,0,1,0,0,0,0,0,0,2026
