d,HT5lin_09:15,HT10lin_09:15,HT15lin_09:15,HT10tanh_09:15,HT10eq_09:15,HT5lin_09:30,HT10lin_09:30,HT15lin_09:30,HT10tanh_09:30,HT10eq_09:30,ema20,up_full,upsw_09:30,W50_09:30,fwdL4,tx_own
2025-06-02,-0.11333336165528182,-0.12901172724065163,-0.09941979958880572,-0.12079495310169558,-0.17458335621854396,-0.2632080549258685,-0.2028475682236763,-0.17941445706723838,-0.1894849291683194,-0.05920503211211934,271.72161172237895,103.0,94.0,-0.0968403660505976,0,0.3459423025064376
2025-06-03,0.3354626493306268,0.3270455957875791,0.31121638104796623,0.31344267789216035,0.3112818962548053,0.2348487312917344,0.27364371563703255,0.2646563449599865,0.24281541274267346,0.4285800403207517,270.51002965358094,209.0,154.0,0.174450223511065,0,0.5692949728969925
2025-06-04,0.13357312579031874,0.0848028318911883,0.09523340290019211,0.08303264279585086,-0.001762936591644343,0.38221670609092173,0.30178448542267206,0.3005380085591401,0.28792345624813426,0.06955823140615829,270.0805030199066,272.0,191.0,0.1962833195928855,1,0.707196550155722
2025-06-05,-0.22868755844186942,-0.1548424030903178,-0.1089967590662215,-0.15517813945604178,0.06871097469044549,-0.2831240736414618,-0.20314860993961747,-0.15854755457653952,-0.19976023896531123,0.08664263549194057,270.26331225610596,126.0,87.0,-0.0908845763817009,0,0.3219082874169668
2025-06-06,-0.05839732152226353,-0.004198649231914543,-0.002907469410176034,-0.0049814111787950185,0.1450955380425743,-0.20396125305811544,-0.11006451688171921,-0.08784208223576875,-0.10951179553780487,0.13648483845040835,260.23823489838156,103.0,103.0,-0.0527604526385045,0,0.39579118741033453
2025-06-09,-0.008101526851339401,0.021536936949402563,0.04036645257816548,0.020595931955317174,0.0869738060008807,-0.07423451296420999,-0.023408073697248125,-0.008559890989153902,-0.024097563444931618,0.0665618866004974,246.59649824139285,130.0,130.0,-0.0577332555728138,0,0.5271769912675047
2025-06-10,0.05972953276994196,0.026825601709566337,0.02634660026009422,0.02820552593090145,0.0005325387034249313,0.3391031583225023,0.29250873041830694,0.28301225055532353,0.2753270261435695,0.1696676261307736,238.53968888506972,386.0,172.0,0.1897886770228895,1,0.7210540132919807
2025-06-11,-0.24374249679573715,-0.2333256415724209,-0.20386989492269741,-0.22416999448186986,-0.14042244040303137,-0.302113373052881,-0.295485357752288,-0.2740478696090346,-0.2804378056044656,-0.2519758783949377,252.5835280388726,165.0,68.0,-0.0801843333143383,0,0.26921787231325234
2025-06-12,-0.22116198393046788,-0.19058578707708992,-0.17595317139163033,-0.1838973486468575,-0.03884138882076636,-0.20623820875161067,-0.17789515594074384,-0.16243936875279114,-0.17203351537477368,-0.02919516311066096,244.24223965421805,102.0,59.0,0.0177590101267356,0,0.24156345799779874
2025-06-13,-0.48350083732911975,-0.395758278719284,-0.3584939563276222,-0.3493986330286708,-0.005991768662971253,-0.24442464297715263,-0.17193089993448027,-0.12195072435421664,-0.17038969447728064,0.12117086225028365,231.93345492524492,246.0,142.0,-0.0037422723530327,1,0.6122445769876899
2025-06-16,-0.1942718322342211,-0.14337226744729248,-0.09751035379414526,-0.13801880123728016,0.0863828041841419,-0.20080737654569367,-0.13024802753288295,-0.0864216504005996,-0.12563971513898747,0.15766537805557423,233.2731258847454,174.0,108.0,0.0102587038720304,0,0.46297660560076764
2025-06-17,-0.04955669878304391,-0.023723790783202327,-0.0069068121965237175,-0.022637671385904043,0.006847103745367405,-0.06215947324742902,-0.03537592908388263,-0.021413851586026867,-0.033235145203754014,-0.011684350917467673,229.43759008619824,130.0,130.0,-0.0325889822141978,0,0.5666028829502604
2025-06-18,0.3096756604761115,0.27776784099606394,0.26545731802193523,0.2570194633048336,0.1807478524145165,0.2742281820917507,0.24073233295763788,0.2233801886547234,0.23064793586076326,0.11501782561484368,226.5387719827508,268.0,172.0,0.1165946100828135,1,0.7592519306721434
2025-06-19,0.05539961760751898,0.04413631486310318,0.05375228896159987,0.042109755202031626,0.06530787745829388,-0.39095135280157634,-0.3374217441756459,-0.30312090271197417,-0.2998563234576931,-0.00877860263637804,230.48746036534595,80.0,75.0,-0.1158015991287771,0,0.3253973117718309
2025-06-20,0.02344984245119958,0.027647560006015492,0.011852733860696024,0.026297734722138425,0.0701422606970823,-0.014261452991427134,-0.014192586700652007,-0.02855219440247499,-0.013869038377996107,-0.010812434820300715,225.86960699721777,194.0,116.0,-0.1879539999709257,0,0.5135706461003798
2025-06-23,0.15085068410195923,0.13762651610960086,0.13574391370325187,0.11468527843395716,0.2446866684714561,-0.27937060749319204,-0.25911630189941254,-0.24653025282296817,-0.23812348077519702,0.03515574004364036,230.3582158546256,279.0,166.0,0.044283863769609,1,0.7206167984247596
2025-06-24,0.1817220658522411,0.21876375951394733,0.21229767131904292,0.18199568483282186,0.44756024586863835,-0.0011360148727994816,0.05218162887946553,0.056051727423920554,0.01315022495370102,0.42853885508580936,234.99076672561364,202.0,191.0,0.0355948868452686,0,0.8127978927062298
2025-06-25,0.01153542644875892,-0.01610367965655569,-0.01548907427035037,-0.016172922506993488,-0.07588751411250737,0.036973316734052325,-0.010970240538306968,-0.02439837107499207,-0.009600719047560984,-0.10679766269804072,231.84878894222183,151.0,52.0,-0.0058333872586613,0,0.22428411309475818
2025-06-26,-0.14595071272441826,-0.11939957192265457,-0.10952289301310829,-0.11811450178420722,0.05233632095970535,-0.022073594997809528,-0.01532251591516309,-0.01799506674813277,-0.010702333416319612,-0.033898439206083576,224.14890428105787,124.0,76.0,-0.1128440758213283,0,0.3390603235102342
2025-06-27,0.03247259341809232,0.044996047745069344,0.06473131740554096,0.04294088238235212,0.09631997744752835,-0.22163885077028253,-0.197808217994724,-0.169625550756948,-0.18593631784282974,-0.08890061008051248,220.4204372066714,139.0,45.0,-0.1717554604369427,0,0.20415529780392794
2025-06-30,0.0764565911662318,0.013170609398334759,0.023552144446970007,0.026123951361297335,-0.3010790016348461,0.07187911080029853,0.01695954082723457,0.02244652306748133,0.0332932919908613,-0.26367186158966655,221.52325271079795,103.0,69.0,-0.0913450420878542,0,0.31147971671434677
2025-07-01,0.496718238413314,0.4908318221651591,0.4803922569278963,0.42054062961377997,0.628372238439226,0.5280587132101718,0.4935193743489084,0.4869289274834785,0.41590894994572775,0.5712402405186483,216.7115143573886,402.0,302.0,0.2236843386971269,0,1.3935577022546128
2025-07-02,-0.20864430449287152,-0.14609005651032253,-0.09722615989748086,-0.14582155444979875,0.08651949773591532,0.09198486834767725,0.13846654250319684,0.17690912615006413,0.12372926831969155,0.32412815952858903,234.35803679954208,193.0,99.0,0.1313826135421854,0,0.42243057397122485
2025-07-03,-0.46950950377098005,-0.38914855432001666,-0.3636550652126572,-0.3477887584358915,-0.06607731972178903,-0.22060153845679298,-0.18828418601114186,-0.17244974332930857,-0.19095212562739267,-0.01984745425395047,230.41917615196664,169.0,148.0,-0.1033950657088455,0,0.6423076519568435
2025-07-04,0.043280845888034054,0.02851014127519907,0.04410188813465258,0.02558345587286521,0.033215243665126196,-0.1977142525776163,-0.19329020551242632,-0.15471093755079765,-0.18883936538326546,-0.09018928544081906,224.5697308041603,50.0,45.0,-0.1551119407798132,0,0.20038319429274726
2025-07-07,-0.506193307000153,-0.478593027026113,-0.44298112647853916,-0.43549382901409694,-0.35506513669309614,-0.15759375502552947,-0.1415810910127943,-0.09670833197723842,-0.13788819321949083,-0.0019035288573066799,234.7059469180498,180.0,180.0,-0.0999597957926851,0,0.7669170822622957
2025-07-08,-0.028501579631636947,-0.03178015506152753,-0.018797845815153046,-0.0313557854397563,-0.058946929325481734,-0.19578268613438857,-0.19147162849057695,-0.17154360239508354,-0.18600740588772444,-0.10299666551438806,237.3053805449022,174.0,88.0,0.045145740992565,0,0.37083019271595874
2025-07-09,0.4463556939812092,0.40483020707481876,0.37656820720542833,0.3537959513212385,0.39142438822911935,0.4213678722464424,0.375402954206951,0.3460629908268515,0.31084624676032174,0.32848515455329647,239.0858204930067,327.0,139.0,0.162714102322471,1,0.5813811948921738
2025-07-10,-0.0008610297420576869,0.03075482341582521,0.04370261814847125,0.018455460384268978,0.13836719373395695,0.0934389656151466,0.10528000998727538,0.1263142621868018,0.08395724608996037,0.21219964258818882,247.45859949367275,237.0,145.0,0.0779446767122322,0,0.5859566016161322
2025-07-11,-0.0056535793876217105,0.012947172929549609,0.06388796686794283,0.009648649688336798,0.061314594617702126,0.013817943189326639,0.019061735603946472,0.07625493321701123,0.014427963416958749,0.06234729669505976,246.4625423990373,286.0,142.0,-0.0880423804678085,1,0.5761524595899594
