indicator,direction,quantile,threshold,n_triggers,n_clusters,jaccard_h085,tier_dist,fwd_60d_med,fwd_60d_lift,fwd_120d_n,fwd_120d_med,fwd_120d_lift,fwd_250d_n,fwd_250d_med,fwd_250d_lift,excl_120d_n,excl_120d_med,excl_120d_lift,excl_250d_n,excl_250d_med,excl_250d_lift,label
breadth_adv_dec,low,top 5%,0.18633503306870136,200,137,0.07049608355091384,"{'A': 103, 'B': 50, 'C': 28, 'D': 11, 'bull': 8}",0.04464580960062514,0.011355997113736582,194,0.07069403337264168,0.013705216993566971,188,0.11930415178693021,0.005535688544970663,167,0.06164362130080181,0.004654804921727096,162,0.09842835739222466,-0.015340105849734886,adv/dec
breadth_adv_dec,low,top 10%,0.2995083824494461,399,231,0.06468531468531469,"{'A': 177, 'B': 94, 'C': 63, 'bull': 36, 'D': 29}",0.04900816421031795,0.01571835172342939,387,0.0731140295802235,0.01612521320114879,374,0.12845374939133847,0.014685286149378918,350,0.06847754602496381,0.011488729645889095,340,0.10776574681150675,-0.0060027164304528036,adv/dec
new_lows_52w,high,top 5%,149.0,201,61,0.11081081081081082,"{'A': 77, 'B': 70, 'C': 42, 'D': 7, 'bull': 5}",0.010091676820785267,-0.023198135666103292,189,0.0304445916901106,-0.026544224688964113,189,0.1263158878992836,0.012547424657324058,148,0.005739636047030761,-0.05124918033204395,148,0.09399762235434594,-0.019770840887613605,new lows 52w
new_lows_52w,high,top 10%,94.0,403,90,0.09660107334525939,"{'A': 147, 'B': 128, 'C': 79, 'bull': 28, 'D': 21}",0.027118235241780697,-0.006171577245107862,371,0.049407071318774864,-0.007581745060299849,364,0.1263747814028361,0.01260631816087654,317,0.03520499623046769,-0.021783820148607025,311,0.09680510815154464,-0.01696335509041491,new lows 52w
new_high_low_diff,low,top 5%,-133.0,202,59,0.11351351351351352,"{'A': 80, 'B': 74, 'C': 42, 'bull': 3, 'D': 3}",0.010091676820785267,-0.023198135666103292,195,0.03511959732075787,-0.021869219058316847,195,0.12755339671082289,0.013784933468863336,153,0.01186993426665639,-0.045118882112418324,153,0.09651747953273793,-0.017250983709221623,high-low diff
new_high_low_diff,low,top 10%,-73.0,403,95,0.10053859964093358,"{'A': 161, 'B': 130, 'C': 77, 'D': 21, 'bull': 14}",0.024977716862263577,-0.008312095624624982,383,0.045725519798384795,-0.011263296580689919,377,0.10911862223767388,-0.004649841004285671,327,0.03197468885179622,-0.025014127527278496,322,0.08432216622216115,-0.029446297019798395,high-low diff
new_highs_52w,low,top 5%,0.0,221,14,0.011737089201877934,"{'A': 217, 'B': 3, 'C': 1}",0.04307964288910915,0.00978983040222059,221,0.06333972835202295,0.006350911972948237,221,0.1125827638009218,-0.0011856994410377464,216,0.062168258372132135,0.005179441993057421,216,0.10863670013751925,-0.005131763104440301,new highs 52w
new_highs_52w,low,top 10%,5.0,435,46,0.09322033898305085,"{'A': 343, 'B': 65, 'C': 26, 'D': 1}",0.046554808845511886,0.013264996358623327,434,0.05873488642342073,0.0017460700443460153,433,0.11977707891837674,0.006008615676417195,379,0.04644475282264193,-0.010544063556432781,378,0.10050957273838013,-0.013258890503579424,new highs 52w
