date,side,ordinal,is_2nd,entry_min,prior_swing_L,prior_run_open_L,ext_lvl,mfe_L,reach_L3,reach_L4,reach_L5
2021-03-23,short,1,0,627,0.56,0.316,>=L2,0.334,1,0,0
2021-03-24,short,1,0,614,0.498,0.3,>=L2,0.267,0,0,0
2021-03-25,short,1,0,581,0.51,0.096,>=L2,0.01,0,0,0
2021-03-25,short,2,1,741,0.543,0.096,>=L2,0.058,0,0,0
2021-03-26,long,1,0,591,0.569,0.502,>=L2,0.607,1,1,0
2021-03-29,long,1,0,638,0.592,0.497,>=L2,0.11,0,0,0
2021-03-30,long,1,0,630,0.514,0.272,>=L2,0.084,0,0,0
2021-03-30,short,1,0,661,0.558,0.252,>=L2,0.03,0,0,0
2021-03-30,long,2,1,790,0.549,0.306,>=L2,0.04,0,0,0
2021-03-31,short,1,0,645,0.645,0.598,>=L2,0.206,1,0,0
2021-04-01,long,1,0,614,0.539,0.275,>=L2,0.095,0,0,0
2021-04-01,short,1,0,636,0.534,0.264,>=L2,0.217,1,0,0
2021-04-01,long,2,1,756,0.56,0.275,>=L2,0.005,0,0,0
2021-04-06,short,1,0,568,0.538,0.299,>=L2,0.217,0,0,0
2021-04-06,short,2,1,601,0.625,0.299,>=L2,0.239,1,0,0
2021-04-07,short,1,0,607,0.516,0.472,>=L2,0.3,0,0,0
2021-04-07,long,1,0,729,0.505,0.044,>=L2,0.15,0,0,0
2021-04-08,long,1,0,573,0.609,0.448,>=L2,0.862,1,1,1
2021-04-12,short,1,0,580,0.52,0.129,>=L2,0.778,1,1,0
2021-04-12,long,1,0,668,0.526,0.392,>=L2,0.213,0,0,0
2021-04-13,long,1,0,600,0.662,0.552,>=L2,0.276,1,0,0
2021-04-13,short,1,0,757,0.668,0.11,>=L2,0.844,1,1,1
2021-04-14,long,1,0,685,0.512,0.301,>=L2,0.988,1,1,1
2021-04-15,long,1,0,699,0.603,0.46,>=L2,0.603,1,1,0
2021-04-16,long,1,0,636,0.505,0.152,>=L2,0.51,1,0,0
2021-04-19,long,1,0,603,0.578,0.543,>=L2,0.553,1,0,0
2021-04-20,long,1,0,684,0.532,0.371,>=L2,0.11,0,0,0
2021-04-21,short,1,0,603,0.543,0.371,>=L2,0.037,0,0,0
2021-04-21,long,1,0,668,0.517,0.172,>=L2,0.125,0,0,0
2021-04-22,long,1,0,551,0.606,0.595,>=L2,0.076,0,0,0
2021-04-22,short,1,0,565,0.563,0.011,>=L2,1.283,1,1,1
2021-04-22,long,2,1,678,0.612,0.601,>=L2,0.06,0,0,0
2021-04-22,long,3,1,772,0.612,0.601,>=L2,0.168,0,0,0
2021-04-22,short,2,1,791,1.71,1.11,>=L3,0.13,0,0,0
2021-04-23,long,1,0,558,0.502,0.4,>=L2,0.71,1,1,0
2021-04-26,short,1,0,560,0.512,0.07,>=L2,0.045,0,0,0
2021-04-26,long,1,0,592,0.652,0.582,>=L2,0.457,1,1,0
2021-04-27,short,1,0,719,0.513,0.294,>=L2,0.11,0,0,0
2021-04-27,long,1,0,798,0.538,0.219,>=L2,0.169,0,0,0
2021-04-29,long,1,0,595,0.635,0.619,>=L2,0.257,0,0,0
2021-04-29,short,1,0,659,0.668,0.016,>=L2,0.455,1,0,0
2021-05-03,short,1,0,552,0.628,0.446,>=L2,1.162,1,1,1
2021-05-03,long,1,0,677,0.512,0.182,>=L2,0.275,1,0,0
2021-05-03,short,2,1,764,1.565,1.383,>=L3,0.43,1,0,0
2021-05-04,short,1,0,557,0.635,0.439,>=L2,2.723,1,1,1
