bucket_label,N,sl_hits,pnl_mean,sl_rate
"(0, 0.5]",1,0,125.0,0.0
"(0.5, 1]",105,31,25.295238095238094,0.29523809523809524
"(1, +∞)",61,18,35.9344262295082,0.29508196721311475
