year,bucket_label,N,sl_hits,pnl_mean,sl_rate
2021,"(0.5, 1]",34,13,7.470588235294118,0.38235294117647056
2021,"(1, +∞)",9,2,20.333333333333332,0.2222222222222222
2022,"(0.5, 1]",17,1,39.411764705882355,0.058823529411764705
2022,"(1, +∞)",11,4,4.363636363636363,0.36363636363636365
2023,"(0.5, 1]",14,6,-4.428571428571429,0.42857142857142855
2023,"(1, +∞)",13,3,32.07692307692308,0.23076923076923078
2024,"(0, 0.5]",1,0,125.0,0.0
2024,"(0.5, 1]",19,6,51.36842105263158,0.3157894736842105
2024,"(1, +∞)",6,2,48.0,0.3333333333333333
2025,"(0.5, 1]",13,4,37.61538461538461,0.3076923076923077
2025,"(1, +∞)",13,4,63.07692307692308,0.3076923076923077
2026,"(0.5, 1]",8,1,41.125,0.125
2026,"(1, +∞)",9,3,48.44444444444444,0.3333333333333333
