year,base_N,base_PF,base_avg,nvf_N,nvf_PF,nvf_avg,delta
2021,13,0.9208333333333333,-1.4615384615384615,4,0.7009345794392523,-8.0,-0.21989875389408098
2022,11,1.5053763440860215,8.545454545454545,4,1.4470588235294117,9.5,-0.05831752055660977
2023,9,1.3169014084507042,5.0,5,3.731707317073171,22.4,2.4148059086224665
2024,9,0.7777777777777778,-7.333333333333333,3,0.0,-76.66666666666667,-0.7777777777777778
2025,9,1.5449591280653951,22.22222222222222,4,0.6159420289855072,-13.25,-0.9290170990798879
2026,4,inf,156.25,2,inf,127.5,
