strategy,weekday,wd_idx,base_N,base_PF,nvf_N,nvf_PF,nvf_share
EstHL,Mon,0,45,2.5417536534446765,22,3.876681614349776,0.4888888888888889
EstHL,Tue,1,61,1.744832501781896,30,1.3806060606060606,0.4918032786885246
EstHL,Wed,2,55,3.3485714285714288,26,6.227513227513228,0.4727272727272727
EstHL,Thu,3,39,1.3117593436645396,24,1.7268211920529801,0.6153846153846154
EstHL,Fri,4,42,0.9357459379615952,24,0.5036194415718718,0.5714285714285714
Reversal,Mon,0,94,0.7518072289156627,54,0.7411915438821268,0.574468085106383
Reversal,Tue,1,97,2.155829596412556,51,2.529884032114184,0.5257731958762887
Reversal,Wed,2,99,1.280674846625767,56,1.4362469927826784,0.5656565656565656
Reversal,Thu,3,91,1.6708507670850767,58,1.5298651252408477,0.6373626373626373
Reversal,Fri,4,109,0.9301547469677959,72,1.1089045483664317,0.6605504587155964
Exhaustion,Mon,0,30,0.9280397022332506,24,1.1275239107332624,0.8
Exhaustion,Tue,1,21,1.5572916666666667,16,2.0993975903614457,0.7619047619047619
Exhaustion,Wed,2,21,0.7732997481108312,17,0.5990338164251208,0.8095238095238095
Exhaustion,Thu,3,24,0.8018327605956472,19,0.5014285714285714,0.7916666666666666
Exhaustion,Fri,4,38,1.1155339805825242,35,0.9116504854368932,0.9210526315789473
