Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,trade_date,weekday,year,is_long,MAE,MFE,MAE_MFE_ratio,trend_regime
-1,1520,1604,15369.0,15350.0,,,19.0,0.0,0.0012362547986205508,2021-01-08 09:00:00,2021-01-08 10:24:00,0 days 01:24:00,,2021-01-08,4,2021,False,25.0,105.0,0.23809523809523808,against_trend
-1,3027,3077,15920.0,15816.0,,,104.0,0.0,0.006532663316582865,2021-01-15 09:02:00,2021-01-15 09:52:00,0 days 00:50:00,,2021-01-15,4,2021,False,40.0,161.0,0.2484472049689441,against_trend
1,5739,5801,15432.0,15446.0,,,14.0,0.0,0.0009072058061172505,2021-01-28 09:05:00,2021-01-28 10:07:00,0 days 01:02:00,,2021-01-28,3,2021,True,29.0,92.0,0.31521739130434784,against_trend
1,9950,9979,16099.0,16020.0,,,-79.0,0.0,-0.004907137089260161,2021-02-26 09:02:00,2021-02-26 09:31:00,0 days 00:29:00,,2021-02-26,4,2021,True,79.0,19.0,4.157894736842105,against_trend
1,11157,11198,15654.0,15753.0,,,99.0,0.0,0.006324262169413508,2021-03-05 09:05:00,2021-03-05 09:46:00,0 days 00:41:00,,2021-03-05,4,2021,True,47.0,114.0,0.41228070175438597,against_trend
1,14166,14173,16106.0,16040.0,,,-66.0,0.0,-0.004097851732273727,2021-03-19 09:04:00,2021-03-19 09:11:00,0 days 00:07:00,,2021-03-19,4,2021,True,68.0,4.0,17.0,against_trend
-1,14830,14879,16187.0,16165.0,,,22.0,0.0,0.001359115339469974,2021-03-23 10:06:00,2021-03-23 10:55:00,0 days 00:49:00,,2021-03-23,1,2021,False,9.0,56.0,0.16071428571428573,against_trend
-1,17206,17215,16723.0,16770.0,,,-47.0,0.0,-0.00281050050828191,2021-04-06 09:34:00,2021-04-06 09:43:00,0 days 00:09:00,,2021-04-06,1,2021,False,50.0,6.0,8.333333333333334,against_trend
1,21085,21091,17118.0,17057.0,,,-61.0,0.0,-0.003563500408926279,2021-04-23 09:00:00,2021-04-23 09:06:00,0 days 00:06:00,,2021-04-23,4,2021,True,61.0,1.0,61.0,against_trend
-1,28310,28361,16711.0,16811.0,,,-100.0,0.0,-0.005984082340972918,2021-05-28 09:01:00,2021-05-28 09:52:00,0 days 00:51:00,,2021-05-28,4,2021,False,102.0,38.0,2.6842105263157894,against_trend
-1,29513,29592,17224.0,17283.0,,,-59.0,0.0,-0.0034254528564794384,2021-06-03 09:00:00,2021-06-03 10:19:00,0 days 01:19:00,,2021-06-03,3,2021,False,75.0,34.0,2.2058823529411766,against_trend
1,36460,36481,17842.0,17862.0,,,20.0,0.0,0.0011209505660800811,2021-07-07 09:24:00,2021-07-07 09:45:00,0 days 00:21:00,,2021-07-07,2,2021,True,18.0,32.0,0.5625,against_trend
1,40953,40964,17114.0,17054.0,,,-60.0,0.0,-0.0035059016010283717,2021-07-28 09:02:00,2021-07-28 09:13:00,0 days 00:11:00,,2021-07-28,2,2021,True,66.0,22.0,3.0,against_trend
1,44002,44070,17257.0,17244.0,,,-13.0,0.0,-0.0007533174943501475,2021-08-11 09:41:00,2021-08-11 10:49:00,0 days 01:08:00,,2021-08-11,2,2021,True,37.0,41.0,0.9024390243902439,against_trend
1,44865,44926,16864.0,16830.0,,,-34.0,0.0,-0.0020161290322581182,2021-08-16 09:01:00,2021-08-16 10:02:00,0 days 01:01:00,,2021-08-16,0,2021,True,43.0,72.0,0.5972222222222222,against_trend
1,45468,45506,16478.0,16409.0,,,-69.0,0.0,-0.004187401383663025,2021-08-18 09:02:00,2021-08-18 09:40:00,0 days 00:38:00,,2021-08-18,2,2021,True,82.0,59.0,1.3898305084745763,against_trend
-1,51192,51280,17496.0,17442.0,,,54.0,0.0,0.0030864197530864335,2021-09-14 09:07:00,2021-09-14 10:35:00,0 days 01:28:00,,2021-09-14,1,2021,False,53.0,70.0,0.7571428571428571,against_trend
1,55145,55181,16267.0,16246.0,,,-21.0,0.0,-0.001290957152517369,2021-10-05 09:47:00,2021-10-05 10:23:00,0 days 00:36:00,,2021-10-05,1,2021,True,36.0,43.0,0.8372093023255814,against_trend
-1,68688,68720,17930.0,17937.0,,,-7.0,0.0,-0.0003904071388733943,2021-12-08 09:45:00,2021-12-08 10:17:00,0 days 00:32:00,,2021-12-08,2,2021,False,28.0,28.0,1.0,against_trend
-1,76168,76210,18393.0,18463.0,,,-70.0,0.0,-0.003805795683140323,2022-01-13 09:00:00,2022-01-13 09:42:00,0 days 00:42:00,,2022-01-13,3,2022,False,72.0,25.0,2.88,against_trend
-1,76469,76516,18461.0,18290.0,,,171.0,0.0,0.009262770164129797,2022-01-14 09:00:00,2022-01-14 09:47:00,0 days 00:47:00,,2022-01-14,4,2022,False,21.0,207.0,0.10144927536231885,against_trend
1,77379,77453,18291.0,18306.0,,,15.0,0.0,0.000820075446941182,2022-01-19 09:07:00,2022-01-19 10:21:00,0 days 01:14:00,,2022-01-19,2,2022,True,18.0,54.0,0.3333333333333333,against_trend
1,84596,84675,17658.0,17745.0,,,87.0,0.0,0.004926945293917795,2022-03-04 09:00:00,2022-03-04 10:19:00,0 days 01:19:00,,2022-03-04,4,2022,True,23.0,116.0,0.19827586206896552,against_trend
1,94529,94638,16888.0,16922.0,,,34.0,0.0,0.002013263855992431,2022-04-22 09:00:00,2022-04-22 10:49:00,0 days 01:49:00,,2022-04-22,4,2022,True,31.0,68.0,0.45588235294117646,against_trend
1,95453,95492,16297.0,16258.0,,,-39.0,0.0,-0.0023930784807019156,2022-04-27 09:21:00,2022-04-27 10:00:00,0 days 00:39:00,,2022-04-27,2,2022,True,42.0,21.0,2.0,against_trend
-1,96113,96180,16546.0,16548.0,,,-2.0,0.0,-0.0001208751359844662,2022-04-29 10:19:00,2022-04-29 11:26:00,0 days 01:07:00,,2022-04-29,4,2022,False,14.0,51.0,0.27450980392156865,against_trend
1,97889,97905,15869.0,15922.0,,,53.0,0.0,0.0033398449807802155,2022-05-10 09:49:00,2022-05-10 10:05:00,0 days 00:16:00,,2022-05-10,1,2022,True,24.0,75.0,0.32,against_trend
-1,99082,99130,15981.0,15920.0,,,61.0,0.0,0.003817032726362579,2022-05-16 09:38:00,2022-05-16 10:26:00,0 days 00:48:00,,2022-05-16,0,2022,False,23.0,74.0,0.3108108108108108,against_trend
1,99957,99976,15924.0,15870.0,,,-54.0,0.0,-0.0033911077618689056,2022-05-19 09:10:00,2022-05-19 09:29:00,0 days 00:19:00,,2022-05-19,3,2022,True,64.0,24.0,2.6666666666666665,against_trend
1,104475,104530,16396.0,16420.0,,,24.0,0.0,0.0014637716516223698,2022-06-10 09:13:00,2022-06-10 10:08:00,0 days 00:55:00,,2022-06-10,4,2022,True,25.0,46.0,0.5434782608695652,against_trend
1,105970,105989,15250.0,15196.0,,,-54.0,0.0,-0.003540983606557413,2022-06-17 09:03:00,2022-06-17 09:22:00,0 days 00:19:00,,2022-06-17,4,2022,True,55.0,45.0,1.2222222222222223,against_trend
1,108379,108387,15045.0,14990.0,,,-55.0,0.0,-0.0036556995679627446,2022-06-29 09:04:00,2022-06-29 09:12:00,0 days 00:08:00,,2022-06-29,2,2022,True,65.0,4.0,16.25,against_trend
-1,112912,112986,14840.0,14880.0,,,-40.0,0.0,-0.0026954177897573484,2022-07-20 09:22:00,2022-07-20 10:36:00,0 days 01:14:00,,2022-07-20,2,2022,False,45.0,2.0,22.5,against_trend
