rule,split,recall_A,FPR_bull,hit_B,hit_C,hit_D,n_A,n_bull,youden_J,median_lag_days
A>=5d OR B=streak>=1,OOS,0.8803921568627451,0.2438423645320197,0.3289817232375979,0.7234848484848485,0.032407407407407406,510,406,0.6365497923307254,61.0
A>=5d AND B=streak>=2,OOS,0.07254901960784314,0.0,0.0,0.16287878787878787,0.0,510,406,0.07254901960784314,219.0
A>=5d OR B=streak>=2,OOS,0.8803921568627451,0.2438423645320197,0.29765013054830286,0.7234848484848485,0.032407407407407406,510,406,0.6365497923307254,61.0
A>=5d AND B=streak>=3,OOS,0.03137254901960784,0.0,0.0,0.16287878787878787,0.0,510,406,0.03137254901960784,240.0
A>=5d OR B=streak>=3,OOS,0.8803921568627451,0.2438423645320197,0.23759791122715404,0.7234848484848485,0.032407407407407406,510,406,0.6365497923307254,61.0
A>=5d AND B=streak>=4,OOS,0.0,0.0,0.0,0.11363636363636363,0.0,510,406,0.0,
A>=5d OR B=streak>=4,OOS,0.8803921568627451,0.21674876847290642,0.21409921671018275,0.7083333333333334,0.032407407407407406,510,406,0.6636433883898387,61.0
A>=5d AND B=streak>=6,OOS,0.0,0.0,0.0,0.011363636363636364,0.0,510,406,0.0,
A>=5d OR B=streak>=6,OOS,0.8058823529411765,0.12561576354679804,0.21409921671018275,0.6893939393939394,0.0,510,406,0.6802665893943785,61.0
A>=5d AND B=score<=16,OOS,0.03137254901960784,0.0,0.0,0.05303030303030303,0.0,510,406,0.03137254901960784,240.0
A>=5d OR B=score<=16,OOS,0.7745098039215687,0.0,0.21409921671018275,0.16287878787878787,0.0,510,406,0.7745098039215687,61.0
A>=5d AND B=score<=22,OOS,0.11764705882352941,0.0,0.018276762402088774,0.16287878787878787,0.0,510,406,0.11764705882352941,196.0
A>=5d OR B=score<=22,OOS,0.8803921568627451,0.2438423645320197,0.3289817232375979,0.7234848484848485,0.032407407407407406,510,406,0.6365497923307254,61.0
A>=10d AND B=streak>=1,OOS,0.11764705882352941,0.0,0.007832898172323759,0.13257575757575757,0.0,510,406,0.11764705882352941,196.0
A>=10d OR B=streak>=1,OOS,0.8705882352941177,0.2438423645320197,0.3028720626631854,0.7234848484848485,0.032407407407407406,510,406,0.626745870762098,66.0
A>=10d AND B=streak>=2,OOS,0.07254901960784314,0.0,0.0,0.13257575757575757,0.0,510,406,0.07254901960784314,219.0
A>=10d OR B=streak>=2,OOS,0.8705882352941177,0.2438423645320197,0.26109660574412535,0.7234848484848485,0.032407407407407406,510,406,0.626745870762098,66.0
A>=10d AND B=streak>=3,OOS,0.03137254901960784,0.0,0.0,0.13257575757575757,0.0,510,406,0.03137254901960784,240.0
A>=10d OR B=streak>=3,OOS,0.8705882352941177,0.2438423645320197,0.2010443864229765,0.7234848484848485,0.032407407407407406,510,406,0.626745870762098,66.0
