rule,IS_recall,OOS_recall,Δrecall,IS_FPR,OOS_FPR,ΔFPR
A>=0d OR B=streak>=6,0.5229235880398672,0.8352941176470589,0.3123705296071917,0.0,0.12561576354679804,0.12561576354679804
A>=5d OR B=streak>=6,0.5069767441860465,0.8058823529411765,0.29890560875512995,0.0,0.12561576354679804,0.12561576354679804
A>=10d OR B=streak>=6,0.4950166112956811,0.796078431372549,0.3010618200768679,0.0,0.12561576354679804,0.12561576354679804
A>=0d OR B=streak>=4,0.5647840531561462,0.9019607843137255,0.3371767311575793,0.08045977011494253,0.21674876847290642,0.13628899835796388
A>=0d OR B=score<=16,0.3767441860465116,0.796078431372549,0.41933424532603736,0.0,0.0,0.0
