breadth_indicator,n,r_vix_pct,r_taiex_dist_125ma_z,r_margin_drop_60d_pct,r_econ_score,max_abs_r,redundant
up_pct,558,-0.044792071205470976,0.062396781520870685,-0.06045331593117031,0.01541274161898204,0.062396781520870685,False
lu_count,558,0.08954556287958994,-0.02807580120348715,-0.09231116331870606,0.11831356859953096,0.11831356859953096,False
up_pct_20d,549,-0.027171683180168067,0.168437393910024,-0.12553261678413638,0.07746658125475016,0.168437393910024,False
adv_dec_ratio,558,0.08406148737563329,-0.1557651716235498,-0.17660960510456297,0.06690694968604774,0.17660960510456297,False
adv_dec_cum_20d_chg,538,-0.11111625814481157,0.17802314729779278,-0.10942048530049384,-0.02826724428573551,0.17802314729779278,False
limit_diff,558,-0.046468667010086,0.18198480004885717,0.03544478271513123,-0.0009247675280552633,0.18198480004885717,False
ld_value_ratio,558,0.15006512595867363,-0.21489481997717755,-0.06825227909090067,0.0986239632842916,0.21489481997717755,False
ld_count,558,0.11428506112146922,-0.23895729557111883,-0.10269816313722725,0.07762950268642384,0.23895729557111883,False
ld_value_ratio_5d,556,0.2299909568534435,-0.30985106567722825,-0.21724920183328011,0.16553874675261046,0.30985106567722825,False
adv_dec_ratio_5d,556,0.17516514985702056,-0.3221040235349084,-0.391682876112368,0.14265013931393453,0.391682876112368,False
adv_dec_cum,558,0.06694567540999943,0.11832344714900815,0.02595237571467297,-0.4469989133340476,0.4469989133340476,False
